,Green Waste,Yellow Waste,Red Waste,Disposed,Total Waste
0,20,10,5,0,35
1,20,10,5,0,35
2,20,10,5,0,35
3,19,9,4,0,32
4,18,9,4,0,31
5,18,8,3,0,29
6,17,8,3,0,28
7,16,9,2,0,27
8,16,10,2,0,28
9,15,10,2,0,27
10,15,10,2,0,27
11,15,9,2,1,26
12,14,9,3,1,26
13,14,10,3,1,27
14,14,10,3,1,27
15,14,9,3,1,26
16,14,9,3,1,26
17,14,8,3,1,25
18,13,8,4,1,25
19,13,8,4,1,25
20,13,8,4,1,25
21,13,8,3,2,24
22,13,8,3,2,24
23,13,8,3,2,24
24,13,8,3,2,24
25,12,8,3,2,23
26,12,7,3,2,22
27,11,7,4,2,22
28,11,8,4,2,23
29,11,7,4,2,22
30,11,7,3,2,21
31,11,7,3,4,21
32,11,7,3,4,21
33,11,7,3,4,21
34,11,6,3,4,20
35,10,6,3,4,19
36,10,6,3,4,19
37,9,5,3,4,17
38,9,6,4,4,19
39,8,6,4,5,18
40,8,6,4,5,18
41,8,6,5,5,19
42,8,6,4,5,18
43,8,6,4,5,18
44,8,6,4,5,18
45,8,6,4,5,18
46,8,6,4,5,18
47,7,6,3,5,16
48,7,6,3,5,16
49,7,6,3,5,16
50,7,5,3,5,15
51,7,5,2,5,14
52,7,5,2,5,14
53,7,5,2,6,14
54,7,5,2,6,14
55,7,5,2,6,14
56,7,5,2,6,14
57,7,5,2,6,14
58,6,5,2,6,13
59,6,6,2,6,14
60,6,6,2,6,14
61,6,5,2,7,13
62,6,5,2,7,13
63,6,4,1,8,11
64,6,4,1,8,11
65,6,4,1,8,11
66,6,4,1,8,11
67,6,4,1,8,11
68,6,4,1,8,11
69,6,4,1,8,11
70,6,4,1,8,11
71,5,4,1,8,10
72,5,4,1,8,10
73,5,4,1,9,10
74,5,4,1,9,10
75,5,3,1,9,9
76,5,3,2,9,10
77,4,3,1,9,8
78,4,4,1,9,9
79,4,4,1,9,9
80,4,4,1,9,9
81,4,4,1,9,9
82,3,4,1,9,8
83,3,4,1,9,8
84,3,4,1,9,8
85,2,4,1,9,7
86,2,5,1,9,8
87,2,5,1,9,8
88,2,5,1,9,8
89,1,5,1,9,7
90,1,5,1,9,7
91,1,5,1,9,7
92,1,5,1,9,7
93,1,5,1,10,7
94,1,5,1,10,7
95,1,5,1,10,7
96,0,5,1,10,6
97,0,6,1,10,7
98,0,5,0,10,5
99,0,5,1,10,6
100,0,5,1,10,6
101,0,5,1,10,6
102,0,5,1,10,6
103,0,5,1,10,6
104,0,5,1,10,6
105,0,5,1,10,6
106,0,5,1,10,6
107,0,5,1,10,6
108,0,5,1,11,6
109,0,5,1,11,6
110,0,5,1,11,6
111,0,4,1,11,5
112,0,4,1,11,5
113,0,4,1,11,5
114,0,3,1,11,4
115,0,3,1,11,4
116,0,2,1,11,3
117,0,1,2,11,3
118,0,1,3,11,4
119,0,1,3,11,4
120,0,1,3,11,4
121,0,1,3,11,4
122,0,0,3,11,3
123,0,0,4,11,4
124,0,0,4,11,4
125,0,0,4,11,4
126,0,0,4,11,4
127,0,0,4,11,4
128,0,0,4,11,4
129,0,0,4,11,4
130,0,0,3,11,3
131,0,0,3,11,3
132,0,0,3,11,3
133,0,0,3,11,3
134,0,0,3,11,3
135,0,0,2,11,2
136,0,0,2,11,2
137,0,0,2,11,2
138,0,0,2,11,2
139,0,0,1,11,1
140,0,0,1,11,1
141,0,0,1,11,1
142,0,0,1,11,1
143,0,0,1,11,1
144,0,0,1,11,1
145,0,0,1,11,1
146,0,0,1,11,1
147,0,0,1,11,1
148,0,0,1,11,1
149,0,0,1,11,1
150,0,0,1,11,1
151,0,0,1,11,1
152,0,0,1,11,1
153,0,0,1,12,1
154,0,0,1,12,1
155,0,0,1,12,1
156,0,0,1,12,1
157,0,0,1,12,1
158,0,0,1,12,1
159,0,0,1,13,1
160,0,0,1,13,1
161,0,0,1,13,1
162,0,0,1,13,1
163,0,0,1,13,1
164,0,0,1,13,1
165,0,0,1,14,1
166,0,0,1,14,1
167,0,0,1,14,1
168,0,0,1,14,1
169,0,0,1,14,1
170,0,0,1,14,1
171,0,0,1,14,1
172,0,0,1,14,1
173,0,0,1,14,1
174,0,0,1,14,1
175,0,0,1,14,1
176,0,0,1,14,1
177,0,0,1,14,1
178,0,0,1,14,1
179,0,0,1,14,1
180,0,0,1,14,1
